,-0.1,0.5,1,2
1,-9999,-9999,-9999,-9999
0.75,0.1047557443380355,0.13758054375648493,0.0473241880536079,-0.2650523781776428
0.5,0.0254041831940412,0.01847048290073865,-0.09398163482546801,-0.13082211464643476
0.25,-0.109377697110176,-0.1773231774568557,-0.3155911862850189,-0.5589413642883301
0,-0.1441590189933776,-0.30173400044441223,-0.5237737894058228,-0.6191808581352234
