,soilm0,soilm1,soilm2,soilm3,soilm4,soilm5,soilm6,soilm7,soilm8,soilm9,soilm10,soilm11,soilm12,soilm13,soilm14,soilm15,soilm16,soilm17,soilm18,soilm19,soilm20,soilm21,soilm22,soilm23,soilm24,soilm25,soilm_bt0,soilm_bt1,soilm_bt2,soilm_bt3,soilm_bt4,soilm_bt5,soilm_bt6,soilm_bt7,soilm_bt8,soilm_bt9,soilm_bt10,soilm_bt11,soilm_bt12,soilm_bt13,soilm_bt14,soilm_bt15,soilm_bt16,soilm_bt17,soilm_bt18,soilm_bt19,soilm_bt20,soilm_bt21,soilm_bt22,soilm_bt23,soilm_bt24,soilm_bt25,soilm_up0,soilm_up1,soilm_up2,soilm_up3,soilm_up4,soilm_up5,soilm_up6,soilm_up7,soilm_up8,soilm_up9,soilm_up10,soilm_up11,soilm_up12,soilm_up13,soilm_up14,soilm_up15,soilm_up16,soilm_up17,soilm_up18,soilm_up19,soilm_up20,soilm_up21,soilm_up22,soilm_up23,soilm_up24,soilm_up25,eco0,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco11,eco12,eco13,eco14,eco15,eco16,eco17,eco18,eco19,eco20,eco21,eco22,eco23,eco24,eco25,eco_bt0,eco_bt1,eco_bt2,eco_bt3,eco_bt4,eco_bt5,eco_bt6,eco_bt7,eco_bt8,eco_bt9,eco_bt10,eco_bt11,eco_bt12,eco_bt13,eco_bt14,eco_bt15,eco_bt16,eco_bt17,eco_bt18,eco_bt19,eco_bt20,eco_bt21,eco_bt22,eco_bt23,eco_bt24,eco_bt25,eco_up0,eco_up1,eco_up2,eco_up3,eco_up4,eco_up5,eco_up6,eco_up7,eco_up8,eco_up9,eco_up10,eco_up11,eco_up12,eco_up13,eco_up14,eco_up15,eco_up16,eco_up17,eco_up18,eco_up19,eco_up20,eco_up21,eco_up22,eco_up23,eco_up24,eco_up25,dryidx,tree
ENA,-0.0873361527919769,0.025647509843111,-0.0032308537047356,-0.0801519900560379,-0.5315109491348267,-1.09952974319458,-1.290299415588379,-1.3648929595947266,-1.4087849855422974,-1.444772720336914,-1.4223010540008545,-1.2342886924743652,-0.9786158800125122,-0.711868941783905,-0.5526544451713562,-0.4940181076526642,-0.5084792375564575,-0.5315090417861938,-0.4762486815452575,-0.4188970029354095,-0.3373076617717743,-0.3324525952339172,-0.2941266596317291,-0.2588972747325897,-0.2840007841587066,-0.3087655007839203,-0.7585580348968506,-0.5073062181472778,-0.38753227889537806,-0.39505647122859955,-0.7476010918617249,-1.2835078835487366,-1.5575631260871887,-1.6744879484176636,-1.7372764348983765,-1.7823138236999512,-1.7682464718818665,-1.6618871688842773,-1.5191564559936523,-1.344001591205597,-1.2292184233665466,-1.1751703023910522,-1.145174264907837,-1.1539396047592163,-1.1454410552978516,-1.1181586384773254,-0.9807299077510834,-0.9373907446861266,-0.9414220750331879,-0.8771609663963318,-0.9066889882087708,-0.9570667743682861,0.5242142975330353,0.5782293975353241,0.43010368943214417,0.27195627987384796,-0.25621590018272394,-0.945219874382019,-1.049481213092804,-1.1026699542999268,-1.1433408856391907,-1.1551392674446106,-1.131237506866455,-0.7616294622421265,-0.24278064817190165,0.0867664478719234,0.18655927479267115,0.22297529131174085,0.18165764212608335,0.18290983140468597,0.2734861224889755,0.3230345398187637,0.4062484949827194,0.38125230371952057,0.4282137602567673,0.427811861038208,0.4585026800632477,0.41251006722450256,0.032243974506855,0.0791380777955055,0.1335045844316482,0.2251164615154266,0.3785931468009949,0.412842184305191,0.3659674227237701,0.3344717919826507,0.28538028895854944,0.2079994231462478,0.0523001998662948,-0.0645370781421661,-0.04821930080652235,-0.0196479856967926,0.002939625410363,0.0333420895040035,0.0563659369945526,0.0584964342415332,0.1001831665635109,0.11277977749705309,0.0920645892620086,0.1009068265557289,0.1342606395483017,0.1552466750144958,0.1616284400224685,0.13984802365303034,-0.6770005226135254,-0.5828561037778854,-0.5338827222585678,-0.4457677900791168,-0.25372400134801865,-0.1951691210269928,-0.273139163851738,-0.3200520873069763,-0.33465136587619776,-0.4223205000162124,-0.6060969531536102,-0.7355602383613586,-0.7436122447252274,-0.7458118200302124,-0.7445334792137146,-0.6727245450019836,-0.6232893317937851,-0.6222065091133118,-0.5997153222560883,-0.6051396429538727,-0.6277350187301636,-0.5899466574192047,-0.5354689061641693,-0.5318690538406372,-0.5364252328872681,-0.5540269762277603,0.6187455654144287,0.6418070793151855,0.6906249225139618,0.8007827997207642,0.9158540219068528,0.9438175559043884,0.8979994058609009,0.8798790574073792,0.8430034220218658,0.7668429911136627,0.6460234224796295,0.5717118382453918,0.598006010055542,0.5953521728515625,0.588096022605896,0.6162183880805969,0.6472578346729279,0.6634884774684906,0.7019537091255188,0.6921285539865494,0.6970753073692322,0.7123910486698151,0.7286944389343262,0.7346968054771423,0.7232893705368042,0.6913153976202011,0.98,0.56
CEU,0.14394550770521158,0.18402623385190958,0.12715145945549006,-0.08489740267395965,-0.5428415834903717,-1.0735304951667786,-1.2910285592079163,-1.377245306968689,-1.432969868183136,-1.4592984914779663,-1.4088789224624634,-1.2535370588302612,-1.0070891380310059,-0.8395071923732758,-0.6726277470588684,-0.5390937328338623,-0.41087292134761805,-0.32070866227149963,-0.3011537045240402,-0.2655688226222992,-0.20776580274105072,-0.14877479523420328,-0.06489323452115055,-0.1237629652023315,-0.1358456909656524,-0.0715529173612594,-0.524675041437149,-0.36265195906162256,-0.26020243763923645,-0.3707446977496147,-0.744157001376152,-1.2433064579963684,-1.5397227704524994,-1.664534479379654,-1.7555294632911682,-1.7924221456050873,-1.7489402294158936,-1.6497812867164614,-1.484683096408844,-1.3541196584701538,-1.2715095877647402,-1.2058683633804321,-1.0572982132434845,-0.9967742264270782,-0.987939864397049,-0.8948099166154861,-0.8732233494520187,-0.8597272634506226,-0.7803088277578354,-0.7976865172386169,-0.8097798377275467,-0.7741969376802444,0.7706500142812729,0.7467745542526245,0.5868339389562607,0.2644900977611542,-0.27819476276636124,-0.914845511317253,-1.0657812654972076,-1.1182262897491457,-1.1350791454315186,-1.1456547677516937,-1.1152344048023224,-0.866132915019989,-0.4263708218932151,-0.20788099989295,0.04789922107011072,0.20688296854496,0.3309355676174163,0.41134471446275706,0.4099753201007843,0.4339863583445549,0.49474348127841944,0.6130446493625641,0.6774925738573074,0.6215373575687408,0.6079697161912918,0.6099200248718262,0.15691461414098734,0.1963980942964553,0.3685496002435684,0.6260051131248474,0.8437945246696472,0.8259927928447723,0.633184552192688,0.4880086481571197,0.4031144678592682,0.2987188398838043,0.0969884097576141,-0.1079703569412231,-0.1888406723737716,-0.15354075282812113,-0.1186312213540077,-0.13839891552925104,-0.1528553515672683,-0.08471419662237165,-0.0337729230523109,0.0003635350585682,-0.0164551511406898,-0.0675430186092853,-0.0520145408809185,-0.0075585800223052,-0.0114612579345703,-0.00887509761378165,-0.5558838248252869,-0.5005276799201965,-0.3947612047195434,-0.0583459660410881,0.2451850064098835,0.2260200679302215,-0.013793463585898275,-0.18926830589771265,-0.29055722057819366,-0.3885059952735901,-0.6097406446933746,-0.8354107141494751,-0.8907621800899506,-0.8426188081502914,-0.806876540184021,-0.8020543158054352,-0.8278107047080994,-0.7821591049432755,-0.7058754116296768,-0.6648351550102234,-0.7256016135215759,-0.760042816400528,-0.7522625029087067,-0.7459823787212372,-0.7076011896133423,-0.7197417169809341,0.7826538980007172,0.8349865078926086,0.9958737939596176,1.174856662750244,1.3122228384017944,1.293344795703888,1.1636438071727753,1.0702640414237976,1.0130901336669922,0.9031971096992493,0.7267550826072693,0.5671738982200623,0.5081070959568024,0.4962545931339264,0.4917289912700653,0.49400831013917923,0.4864109456539154,0.5682400315999985,0.6097306609153748,0.6450642049312592,0.6681526899337769,0.6122404634952545,0.6152050793170929,0.6496829986572266,0.6411573886871338,0.6633407920598984,0.86,0.37
SAS,-0.13539720326662058,-0.0353730078786611,0.00127848901320245,-0.1349680051207542,-0.5023547410964966,-0.9913264811038971,-1.1517768502235413,-1.1690935492515564,-1.1902828812599182,-1.199349582195282,-1.1601207256317139,-0.9719526767730714,-0.794838547706604,-0.6564961969852448,-0.5466695129871368,-0.47719101607799524,-0.4721754789352417,-0.48706039786338806,-0.4452834278345108,-0.39210981130599976,-0.3693546205759048,-0.3333336412906647,-0.298260897397995,-0.274235650897026,-0.287662148475647,-0.28462404012680054,-0.594920352101326,-0.4738113805651664,-0.3670062348246574,-0.40199709683656687,-0.6897010952234268,-1.1931382417678833,-1.458723545074463,-1.5279173851013186,-1.5629082918167116,-1.6096927821636202,-1.528862327337265,-1.316868543624878,-1.1798294484615326,-1.0742040574550629,-0.980483666062355,-0.9291070401668549,-0.9206525087356567,-0.93939508497715,-0.8871708959341049,-0.8610206991434097,-0.8397378176450729,-0.8022438138723373,-0.7732608765363693,-0.7716293931007385,-0.800206258893013,-0.8075120002031326,0.47919937223196024,0.5245895832777023,0.5003485679626465,0.2889667451381683,-0.25167424976825714,-0.823757067322731,-0.9057099670171737,-0.9023924618959427,-0.9093645364046097,-0.9117874801158905,-0.899965837597847,-0.6383732855319977,-0.23413763940334317,0.0522124813869595,0.20555694028735155,0.20621388033032412,0.20975939929485315,0.1793830431997776,0.2450191713869571,0.34228652715682983,0.34908483177423477,0.3652819991111755,0.39040958136320114,0.3940205872058868,0.40453242510557175,0.42000807076692576,-0.1858097165822982,-0.1968737840652465,-0.19405464082956309,-0.0748748406767845,0.0381294451653957,0.0110601619817316,-0.0879980623722076,-0.17710618674755096,-0.24051377922296518,-0.3094854801893234,-0.400697648525238,-0.4917967617511749,-0.5245123505592346,-0.5072946846485138,-0.4488303810358047,-0.3938715755939483,-0.3467470705509186,-0.320614218711853,-0.3343850076198578,-0.3272799849510193,-0.31007577478885645,-0.3039698302745819,-0.2911880612373352,-0.25715416669845576,-0.23835580796003342,-0.2263490855693817,-0.7599031329154968,-0.7828196883201599,-0.7768808752298355,-0.6598292887210846,-0.5475972592830658,-0.5698592364788055,-0.6583395749330521,-0.7316205054521561,-0.7859959900379181,-0.8460469990968704,-0.9455374479293823,-1.021074652671814,-1.04694402217865,-1.0281274616718292,-0.9746797084808351,-0.9256069660186768,-0.8867927640676498,-0.8754345774650574,-0.8918438851833344,-0.8685001134872437,-0.8501608222723007,-0.8531196415424347,-0.8574087917804718,-0.8355200439691544,-0.8239674866199493,-0.8134505748748779,0.4884576201438903,0.4649019837379455,0.4676496535539627,0.5725326538085938,0.6640749573707581,0.6752659231424332,0.5622880011796951,0.4682786092162132,0.40080854296684265,0.31941782683134073,0.23081581294536585,0.1253242269158363,0.0825332999229431,0.09578349627554414,0.1484589800238609,0.2175083458423614,0.2812858819961548,0.30205038189888,0.3098493367433548,0.3039829432964325,0.34550816565752024,0.3634253367781639,0.3733332902193069,0.4117002263665199,0.42981379479169846,0.4510263502597809,1.28,0.05
EAS,-0.00770369707606725,0.0739200077950954,0.126115933060646,0.012552015017718,-0.470118910074234,-1.105128824710846,-1.328392505645752,-1.3822687864303589,-1.407051682472229,-1.4283605813980103,-1.4070415496826172,-1.1980634331703186,-0.9454240500926971,-0.7473657131195068,-0.5899744033813477,-0.43901680409908295,-0.34776443243026733,-0.34743817150592804,-0.26873619854450226,-0.21511647105216974,-0.21342010051012034,-0.15108066797256464,-0.1100016124546527,-0.07797355949878684,-0.08687992021441455,-0.09887606278061864,-0.6609794944524765,-0.5104085206985474,-0.30351291596889496,-0.3295196741819381,-0.7200327217578888,-1.3283559679985046,-1.6705622971057892,-1.770879864692688,-1.836731106042862,-1.8862534761428833,-1.8548898994922638,-1.6910601258277893,-1.5134617388248444,-1.3727395832538605,-1.2491081357002258,-1.1567055284976957,-1.0768722891807554,-1.0564936995506287,-1.0374504625797274,-1.011355698108673,-0.9542417526245117,-0.8793023526668549,-0.829686164855957,-0.799692839384079,-0.815056562423706,-0.8341103494167328,0.5756168365478516,0.6004892438650131,0.5694163888692856,0.40608184039592743,-0.1249381378293037,-0.9264330714941025,-1.0458717048168182,-1.0735404789447787,-1.0838492512702942,-1.0927364230155945,-1.0891681015491486,-0.6729339361190796,-0.13311039283871645,0.041551234200596775,0.21462936699390406,0.3851149007678032,0.41434775292873377,0.43434618413448334,0.49736978858709335,0.5274408161640167,0.5231514871120453,0.5445379167795181,0.5879691690206528,0.5853432416915894,0.5913020372390747,0.5788521021604538,-0.01187859987840055,-0.07578682899475095,-0.0210927091538906,0.267416849732399,0.5433028340339661,0.5969437956809998,0.4704855978488922,0.35874889791011805,0.30647873878479,0.2487120032310485,0.1107162460684776,-0.012395819649100252,-0.0443084351718425,-0.039930168539285604,-0.066403679549694,-0.0822698473930358,-0.0446086227893829,-0.0438796319067478,-0.06134896911680695,-0.05040873959660525,-0.0229154098778963,-0.00804000860080115,-0.0162082891911268,-0.0216490887105464,-0.0025687412125988997,0.0462220422923564,-0.7230993360280991,-0.8070037364959717,-0.7283497750759125,-0.42809620499610895,-0.03956509567797176,0.0051329401321709,-0.1352709680795669,-0.27623168379068375,-0.3316738605499267,-0.38884858787059784,-0.5448728501796722,-0.7103064358234406,-0.7546526789665222,-0.734860748052597,-0.7620866745710373,-0.7910485565662384,-0.7659058570861816,-0.7724761366844177,-0.7633767277002335,-0.7662390172481537,-0.7808258533477783,-0.7704704254865646,-0.7518295347690582,-0.72678542137146,-0.7345263510942459,-0.6898014545440674,0.6417600810527802,0.5986053943634033,0.6442779302597046,0.8452078253030777,1.057850420475006,1.119542360305786,1.028694748878479,0.9405011832714081,0.8931037187576294,0.8196097910404205,0.7075777351856232,0.6281745284795761,0.6084914207458496,0.595696285367012,0.5780122429132462,0.5744653046131134,0.6019995808601379,0.5970699787139893,0.5792232751846313,0.5988917946815491,0.6372517943382263,0.6598333716392517,0.6341118216514587,0.6321385502815247,0.6352992504835129,0.6794902682304382,0.79,0.35
NWS,0.1066462248563766,0.0783128663897514,0.2309798449277877,0.3079955577850342,-0.0371143259108066,-1.2089688777923584,-1.4423151016235352,-1.5045952796936035,-1.5692516565322876,-1.571773648262024,-1.4710108041763306,-1.031048059463501,-0.5434468388557434,-0.4158280193805694,-0.1822633147239685,-0.1843311786651611,-0.1134000048041343,-0.0644140765070915,0.0262083802372217,-0.0245644338428974,-0.0638888180255889,-0.0192169342190027,-0.0261542722582817,0.0630914345383644,0.0037850025109946,0.0673587545752525,-0.5958802700042725,-0.5195100605487823,-0.29212257266044617,-0.0962174758315086,-0.445933073759079,-1.6425271034240723,-2.046571135520935,-2.1554421186447144,-2.306540608406067,-2.35452938079834,-2.130613088607788,-1.7535797357559204,-1.3333471417427063,-1.1743221879005432,-0.9733335375785828,-0.9573962688446045,-0.8781064450740814,-0.7965340912342072,-0.7639402747154236,-0.8079875409603119,-0.7824579179286957,-0.7336935698986053,-0.7173421084880829,-0.601677805185318,-0.672930508852005,-0.5709370672702789,0.5686700344085693,0.5365533530712128,0.6434743106365204,0.652609258890152,0.33723975718021393,-0.9192711412906647,-0.8881465196609497,-0.9549121558666228,-0.9962400496006012,-0.9726716876029968,-0.9568008780479431,-0.3493665605783462,0.12978942692279816,0.22851420938968653,0.39613044261932373,0.44528302550315857,0.4654271900653839,0.49897265434265137,0.5606924295425415,0.5193381011486053,0.4933912307024002,0.5423117876052856,0.4884309321641922,0.5633123219013214,0.5120780169963837,0.5487118661403656,0.0446853563189506,0.0312970802187919,-0.0436777956783771,0.0856845900416374,0.3919006884098053,0.5665872991085052,0.5409863591194153,0.5341364145278931,0.4679420590400696,0.3977041691541672,0.3178305029869079,0.254422515630722,0.1820459067821502,0.1749670803546905,0.1836073994636535,0.1553839147090912,0.1161712631583213,0.10634129494428629,0.1019567027688026,0.10395571961998934,0.1532086133956909,0.1710887253284454,0.173245258629322,0.15461582690477366,0.0552987940609455,0.0458904355764389,-0.7418354749679565,-0.7701920866966248,-0.7983120679855347,-0.6342705190181732,-0.3320541977882385,-0.09767305850982658,-0.14841426163911814,-0.179989643394947,-0.224955141544342,-0.33080407977104187,-0.42878288030624384,-0.5055527687072754,-0.5541260838508606,-0.5804739594459534,-0.5670648813247681,-0.6124086081981659,-0.6272160410881042,-0.6453081965446472,-0.6422382593154907,-0.6230598241090775,-0.5936486721038818,-0.567871630191803,-0.5518462508916855,-0.5848217755556107,-0.6533896923065186,-0.702896237373352,0.7145413756370544,0.7003616094589233,0.6404502391815186,0.7066494524478912,0.8920640647411346,1.0157645344734192,1.036240577697754,1.0267428755760193,0.986797571182251,0.9493577778339386,0.8953211307525635,0.8491389751434326,0.7969844937324524,0.7902401983737946,0.8057682514190674,0.782284140586853,0.7388923764228821,0.7522480487823486,0.7414451241493225,0.7427118569612503,0.7591419816017151,0.7783531844615936,0.7728714048862457,0.7803041189908981,0.7188183665275574,0.7142480611801147,0.58,0.94
SES,0.00206402328331015,0.0789375752210617,0.12494391202926636,-0.04547607153654095,-0.5402134358882904,-1.1041702628135681,-1.324099361896515,-1.3795854449272156,-1.3887012004852295,-1.4017499685287476,-1.3626899719238281,-1.1826744675636292,-0.8822660446166992,-0.6275624334812164,-0.496675506234169,-0.4234069436788559,-0.33237920701503754,-0.3359321802854538,-0.4076399505138397,-0.4266524016857147,-0.35379368066787714,-0.26631923019886017,-0.24151457846164698,-0.26354034245014185,-0.22784962505102155,-0.1984179392457008,-0.7196236848831177,-0.5256705284118652,-0.32140153646469116,-0.3838973268866539,-0.7520399540662766,-1.3158245980739594,-1.6624762117862701,-1.7528839707374573,-1.7744187414646149,-1.7975748479366305,-1.7419584691524506,-1.5859542787075043,-1.4106064438819885,-1.240500032901764,-1.147692084312439,-1.0666199922561646,-0.9957619309425355,-0.939652368426323,-0.9853793978691102,-1.0059106647968292,-0.9776581674814225,-0.91959647834301,-0.8403094261884689,-0.85878886282444,-0.8464765101671219,-0.843778595328331,0.6811579316854477,0.6732763648033142,0.6121092736721039,0.37115608155727386,-0.2397985458374023,-0.9307868927717209,-1.0570395588874817,-1.0766445100307465,-1.075172871351242,-1.0842366516590118,-1.0716198980808258,-0.7324782609939575,-0.07656552828848359,0.22581512853503222,0.2878072261810302,0.3710246831178665,0.3712735921144485,0.3590949699282646,0.3614107221364975,0.39589754492044443,0.4051027372479439,0.47915850579738617,0.46222286671400065,0.4923636168241501,0.5137910395860672,0.5631081759929657,-0.09833751991391175,-0.0871455147862434,0.0218275543302297,0.22098486870527267,0.391074001789093,0.3808973729610443,0.1960072293877601,0.02444965112954375,-0.07152834162116051,-0.14046862721443176,-0.3000398278236389,-0.4755178987979889,-0.5112841129302979,-0.4565920233726501,-0.4076010882854461,-0.3593297600746155,-0.29296034574508667,-0.24183794856071467,-0.217425137758255,-0.1993098109960556,-0.1882678717374801,-0.1596575677394867,-0.13976085186004633,-0.1217857748270034,-0.08546155318617815,-0.0279298033565282,-0.7927391678094864,-0.7777543067932129,-0.6315844357013702,-0.42928725481033325,-0.2254362478852272,-0.2656324282288551,-0.45119176059961313,-0.6185478717088699,-0.7204584628343582,-0.7816864252090454,-0.9250565618276595,-1.1089100241661072,-1.1546974778175354,-1.113841712474823,-1.0615238547325134,-1.021125078201294,-0.9629916250705719,-0.9057701975107193,-0.8753733038902283,-0.8913099467754364,-0.9093437790870667,-0.8719955086708069,-0.8318740725517273,-0.8383916616439819,-0.8054458945989609,-0.7597838938236237,0.5681260079145432,0.5476527214050293,0.6281564235687256,0.7923268526792526,0.9391824901103973,0.9451937824487686,0.7979285418987274,0.6362598687410355,0.5683357119560242,0.4894180074334144,0.3517805561423301,0.22590615600347513,0.18303432688117027,0.22376643866300583,0.26294559240341187,0.3145965933799743,0.38767681270837784,0.4165362790226936,0.4339482188224792,0.4755445867776871,0.5074590444564819,0.5136021971702576,0.5159422159194946,0.5417554974555969,0.5926856100559235,0.6310192048549652,1.15,0.31
WAF,0.015859542414546,0.0600720345973968,0.0908082351088523,0.0197861790657043,-0.4088831543922424,-1.1110422611236572,-1.3396234512329102,-1.39822518825531,-1.4254764318466189,-1.4308487176895142,-1.350832223892212,-1.1680941581726074,-0.9389713406562804,-0.7523021101951599,-0.6293037533760071,-0.5562757849693298,-0.5271251201629639,-0.4944892823696136,-0.4679679870605469,-0.3900395929813385,-0.3224337100982666,-0.2472148835659027,-0.17629374563694,-0.1395360231399536,-0.110094666481018,-0.097059354186058,-0.5793882012367249,-0.4376701414585113,-0.3162474334239959,-0.3268663287162781,-0.6706053018569946,-1.3753783702850342,-1.7537497282028198,-1.8383129835128784,-1.8815747499465945,-1.8944218158721924,-1.7767480611801147,-1.6248139142990112,-1.4552241563796997,-1.3136253356933594,-1.2177259922027588,-1.1607195138931274,-1.1151444911956787,-1.093736171722412,-1.078735589981079,-1.0139981508255005,-0.9353199005126952,-0.8769635558128357,-0.8311082124710083,-0.8004356622695923,-0.791712760925293,-0.7987506985664368,0.5747659206390381,0.5856776833534241,0.5547406673431396,0.4496413469314575,-0.0091104200109839,-0.92002934217453,-1.029173731803894,-1.0660185813903809,-1.084453582763672,-1.0790646076202393,-1.040268063545227,-0.7388644814491272,-0.33260378241539,-0.0740925520658493,0.0551076307892799,0.1216330379247665,0.136738047003746,0.1945323646068573,0.2377466112375259,0.3039684891700744,0.3832621872425079,0.4269187748432159,0.5037888288497925,0.5100353360176086,0.5368543863296509,0.549240231513977,0.0306534618139266,0.022460313513875,0.04111978784203525,0.0986489281058311,0.18016665428876874,0.19691249728202814,0.1383958756923675,0.086814172565937,0.0236881859600543,-0.0331156216561794,-0.0627508945763111,-0.10156206414103505,-0.11385630071163169,-0.1108733639121055,-0.1148944683372974,-0.0728514716029167,-0.0678175687789917,-0.0505570471286773,-0.0395857729017734,-0.0280213579535484,0.0030534213874489,0.0019255571532994,0.0258399005979299,0.0410420317202806,0.0633735656738281,0.0652100592851638,-0.7070955038070679,-0.7012960314750671,-0.7003477960824966,-0.6353060305118561,-0.5190394371747971,-0.49789056926965714,-0.5764012932777405,-0.6302618980407715,-0.6901551783084869,-0.7592669725418091,-0.80604287981987,-0.838155061006546,-0.8676192611455917,-0.8820996433496475,-0.872025191783905,-0.8243972361087799,-0.7966471910476685,-0.7824256420135498,-0.7853743433952332,-0.7632290720939636,-0.7355579733848572,-0.7476664185523987,-0.7238545417785645,-0.6870897859334946,-0.6585406959056854,-0.6506261229515076,0.6993730068206787,0.6945529878139496,0.7087313383817673,0.7403237819671631,0.7826469987630844,0.8018573224544525,0.7674468755722046,0.7459307014942169,0.705325186252594,0.6601532995700836,0.6480170786380768,0.6170442253351212,0.6123224049806595,0.6043068915605545,0.6134116500616074,0.6306925714015961,0.6329736709594727,0.6379280090332031,0.643751710653305,0.6472172737121582,0.6680814027786255,0.6998658180236816,0.7286064028739929,0.7235106229782104,0.7180151045322418,0.7233319878578186,1.3,0.58
EAU,-0.31725063920021057,-0.2641560733318329,-0.3107258081436157,-0.42533043026924133,-0.6382196545600891,-0.8793042004108429,-0.9771100878715515,-1.0050607919692993,-1.0294144749641418,-1.0586254596710205,-1.0486681461334229,-0.9722062647342682,-0.8874689340591431,-0.7955836653709412,-0.7129407823085785,-0.6639660000801086,-0.6091593205928802,-0.561578243970871,-0.4829060733318329,-0.42239026725292206,-0.3732215464115143,-0.30117315053939814,-0.229260578751564,-0.16673220694065088,-0.14336097240447995,-0.17649088054895395,-0.6703618466854095,-0.5585682839155197,-0.5113085508346558,-0.5776528716087341,-0.7616228610277176,-1.012968510389328,-1.1530671715736391,-1.2134386599063873,-1.2547974586486816,-1.2932862043380737,-1.284947097301483,-1.2300431728363037,-1.1858816742897034,-1.115605115890503,-1.0677671432495117,-1.0177680850028992,-0.9641711860895156,-0.9324101209640503,-0.8810690939426422,-0.825388491153717,-0.7832325547933578,-0.7407834678888321,-0.6830539554357529,-0.6561450958251953,-0.6502608358860016,-0.6753996163606644,0.17972118407487864,0.12211626581847662,-0.034308670088648754,-0.22336066886782646,-0.500379353761673,-0.7629596143960953,-0.8212180137634277,-0.832883208990097,-0.8476090878248215,-0.8687575161457062,-0.8637657016515732,-0.733935073018074,-0.5706139951944351,-0.3746249377727508,-0.1454284712672233,0.013597991084679899,0.11599915288388725,0.1645492725074291,0.32061786949634546,0.3377485051751137,0.3491655960679054,0.3626526072621345,0.5356962084770203,0.6692526042461395,0.6796948909759521,0.5947542041540146,-0.2514565736055374,-0.2284619957208633,-0.2047218307852745,-0.2009445279836654,-0.2482087612152099,-0.3544638156890869,-0.4600881338119507,-0.5405566096305847,-0.6013317108154297,-0.6335520148277283,-0.6759868860244751,-0.7335772514343262,-0.7241542637348175,-0.7115371227264404,-0.7003827691078186,-0.6681133508682251,-0.6265714764595032,-0.5910007357597351,-0.570907473564148,-0.535870760679245,-0.5212581157684326,-0.5071315169334412,-0.45978517830371857,-0.3927298486232757,-0.3646037131547928,-0.3287526369094848,-0.730415016412735,-0.7274072468280792,-0.6849468946456909,-0.6720800697803497,-0.7015796452760696,-0.7654772102832794,-0.8345383107662201,-0.9232000112533569,-0.9828435778617858,-1.019254982471466,-1.0551279783248901,-1.0999068021774292,-1.1140027344226837,-1.1123156249523163,-1.1029381453990936,-1.0932267606258392,-1.0662469863891604,-1.0398747324943542,-1.0228703618049622,-0.999911367893219,-0.972794473171234,-0.9701246321201324,-0.9330638796091079,-0.8718959987163544,-0.8428497463464737,-0.8196232318878174,0.33155239373445505,0.3372785970568657,0.3832124397158623,0.3908994495868683,0.3245377838611602,0.2107406593859195,0.0656303726136684,-0.0569291058927774,-0.14016176015138626,-0.18752256035804743,-0.2544100880622863,-0.30322163552045817,-0.3001464903354644,-0.28064700961112976,-0.2450164370238781,-0.16993186995387077,-0.0719218868762254,-0.0211750175803899,0.04707331769168375,0.10120830498635765,0.1243469044566154,0.1405984833836555,0.21951881796121595,0.2778702825307846,0.36346504837274546,0.38197995722293854,2.8449999999999998,0.06
